                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9107,                 10.184,                0.71985,                 3.9862,                 4.2712,                0.00583,                    0.5,                0.01282,                0.00479,                      0,                      0,                      0,                      0,                 3.3619,                 11.181,                0.69379,                 3.8098,                 4.1592,                      0,                      0,                      0
                      1,                 4.3099,                 10.065,                0.69598,                 3.8604,                 4.2143,                0.00667,                0.57143,                 0.0133,                0.00441,                      0,                      0,                      0,                      0,                 3.3619,                 11.167,                0.69383,                 3.8098,                 4.1591,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 3.7136,                 10.245,                0.73564,                 4.1304,                 4.2174,                0.00583,                    0.5,                0.01282,                0.00479,                      0,                      0,                      0,                      0,                 3.3619,                 11.167,                0.69377,                 3.8094,                  4.159,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 4.1208,                 10.092,                0.76649,                  4.324,                 4.8125,                0.00667,                0.57143,                0.01353,                0.00465,                      0,                      0,                      0,                      0,                 3.3617,                 11.168,                0.69374,                 3.8081,                 4.1594,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 3.3417,                 10.404,                0.72119,                 3.7611,                 4.2608,                0.00583,                    0.5,                0.01464,                0.00477,                      0,                      0,                      0,                      0,                 3.3627,                 11.184,                0.69362,                 3.8057,                 4.1593,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 3.8909,                 10.249,                0.71414,                 4.0185,                  4.269,                0.00667,                0.57143,                0.00924,                0.00434,                      0,                      0,                      0,                      0,                 3.3616,                 11.184,                0.69356,                 3.8042,                 4.1594,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 3.0539,                 10.146,                0.69802,                 3.7907,                 4.2809,                0.00667,                0.57143,                0.01044,                0.00482,                      0,                      0,                      0,                      0,                 3.3614,                 11.184,                0.69358,                 3.8055,                 4.1595,             0.00011287,             0.00011287,             0.00011287
                      7,                 3.3712,                 10.612,                0.74768,                  3.802,                 4.3429,                0.00667,                0.57143,                0.01044,                0.00482,                      0,                      0,                      0,                      0,                 3.3621,                 11.184,                0.69364,                 3.8054,                 4.1593,              0.0001303,              0.0001303,              0.0001303
                      8,                 3.5733,                 10.863,                0.73191,                 3.8811,                 4.2504,                0.00667,                0.57143,                0.01014,                0.00458,                      0,                      0,                      0,                      0,                 3.3619,                 11.183,                0.69358,                 3.8037,                 4.1594,             0.00014733,             0.00014733,             0.00014733
                      9,                 3.1716,                 10.335,                0.71895,                 3.7383,                 4.2562,                0.00583,                    0.5,                0.00934,                0.00452,                      0,                      0,                      0,                      0,                 3.3621,                 11.183,                0.69354,                 3.8042,                 4.1593,             0.00016396,             0.00016396,             0.00016396
